# Title: Fractional Real Magic Numbers
# Desc: φ-recursive magic numbers generated from n_magic(φ^k) for k∈{1,2,3.1,5.8,9.5,11.1,...}, no rounding.
Name,s,k,|e|,Pw,Pb,band,band_lex,Cphi,Sphi,tau_est
phi^1,1,1,0,0.5,0.5,neutral ridge,band_1,0.000000000000,1.000000000000,1.618033988750
phi^2,2,2,0,0.5,0.5,neutral ridge,band_2,0.000000000000,1.000000000000,2.618033988750
phi^3.100000000000000088817841970012523233890533447265625,3.100000000000000088817841970012523233890533447265625,3,0.100000000000000088817841970012523233890533447265625,0.600000000000000088817841970012523233890533447265625,0.399999999999999911182158029987476766109466552734375,outer,band_3,0.100000000000,0.900000000000,4.444896827053
phi^5.79999999999999982236431605997495353221893310546875,5.79999999999999982236431605997495353221893310546875,6,0.20000000000000017763568394002504646778106689453125,0.29999999999999982236431605997495353221893310546875,0.70000000000000017763568394002504646778106689453125,edge/knee,band_6,0.200000000000,0.800000000000,16.297774835684
phi^9.5,9.5,10,0.5,0.01,0.99,inner/on,band_10,0.500000000000,0.500000000000,96.690227567026
phi^11.0999999999999996447286321199499070644378662109375,11.0999999999999996447286321199499070644378662109375,11,0.0999999999999996447286321199499070644378662109375,0.5999999999999996447286321199499070644378662109375,0.4000000000000003552713678800500929355621337890625,outer,band_11,0.100000000000,0.900000000000,208.815535747510
