# Title: φ-Band Atlas — Solar System (Planets & Major Moons)
# Desc: A readable map of the Solar System plotted on discrete φ-shells. Each row is a body placed on its nearest shell and tagged with a band that tells you if it sits on-shell, near an edge/knee, on a neutral ridge, or out in the outer field. Use this file to get a clean, top-down overview of how planets and the bigger moons line up by structure, compare families at the same shell index, and spot clusters or gaps at a glance.
s,k,|e|,Pw,Pb,R,System,Body,a,unit,r0
-2.960093648067772,-3,0.0399063519322282,0.571865266042109,0.1786417645679681,0.7619718972882205,Sun,Mercury,0.38709893,AU,1.6085884916345303
-1.6608986268144443,-2,0.3391013731855554,0.8164476242539079,0.2015120218456983,0.8020432120096236,Sun,Venus,0.72333199,AU,1.6085884916345303
-0.9878331047437844,-1,0.0121668952562154,0.8884511139261514,0.2377769967430671,0.7888731470201209,Sun,Earth,1.00000011,AU,1.6085884916345303
-0.1127159122377742,0,0.1127159122377742,0.983049451558726,0.2569278110978388,0.7927963529368363,Sun,Mars,1.52366231,AU,1.6085884916345303
1.1275435809280132,1,0.1275435809280132,0.9957697940826188,0.3011117060199835,0.7678186434179521,Sun,Ceres,2.7675,AU,1.6085884916345303
2.439566126424209,2,0.4395661264242096,1.017133911906796,0.3103476585296368,0.7662132074439236,Sun,Jupiter,5.20336301,AU,1.6085884916345303
3.6986399129924816,4,0.3013600870075184,1.0857809039641424,0.3444752951179711,0.7591513357263945,Sun,Saturn,9.53707032,AU,1.6085884916345303
5.151781318647406,5,0.1517813186474055,1.2732490928448943,0.3481381626773354,0.7852837676553686,Sun,Uranus,19.19126393,AU,1.6085884916345303
6.084922049909066,6,0.0849220499090654,1.289632010889002,0.2748148547084574,0.8243373675695236,Sun,Neptune,30.06896348,AU,1.6085884916345303
6.65089181933344,7,0.3491081806665597,1.1328554960204442,0.2343509431211967,0.8285913989197368,Sun,Pluto,39.482,AU,1.6085884916345303
6.834540545765568,7,0.1654594542344327,1.1100270792658924,0.2291926902583093,0.8288610312706652,Sun,Haumea,43.13,AU,1.6085884916345303
6.958907639200645,7,0.0410923607993542,1.0986937921766544,0.2293623714029766,0.8272946749595625,Sun,Makemake,45.79,AU,1.6085884916345303
7.7739363211357215,8,0.2260636788642778,1.0644857921809308,0.2363040736508043,0.8183380114975684,Sun,Eris,67.78,AU,1.6085884916345303
25.997484543902043,26,0.0025154560979552,0.4681960370244786,0.1205824037009616,0.7951990165394122,Jupiter,Io,421700.0,km,1.5554306543212648
26.962809212552383,27,0.037190787447612,0.601033563537248,0.119827931805122,0.8337712132228532,Jupiter,Europa,671034.0,km,1.5554306543212648
27.933232359753337,28,0.0667676402466629,0.6003777156549226,0.1254261192519734,0.8271900571205129,Jupiter,Ganymede,1070412.0,km,1.5554306543212648
29.106661703357812,29,0.1066617033578163,0.4388613691078228,0.1221195622135098,0.7823106715483719,Jupiter,Callisto,1882709.0,km,1.5554306543212648
24.812981462737586,25,0.1870185372624132,0.8667741160449965,0.2037866639529269,0.8096449377182282,Saturn,Mimas,185539.0,km,1.2101209177799124
25.329982598020656,25,0.3299825980206573,0.932862292634248,0.1961723012146586,0.8262477498179197,Saturn,Enceladus,237948.0,km,1.2101209177799124
25.77392603965824,26,0.2260739603417624,1.012391871780926,0.2017814042660394,0.8338116904343443,Saturn,Tethys,294619.0,km,1.2101209177799124
26.28848537708756,26,0.2884853770875575,1.06564619579273,0.2317602882926772,0.82136647909845,Saturn,Dione,377396.0,km,1.2101209177799124
26.9827958858664,27,0.017204114133602,1.0814144302108133,0.2891902745071352,0.7890053393865691,Saturn,Rhea,527108.0,km,1.2101209177799124
28.72991066189654,29,0.2700893381034586,0.8151489367813494,0.2560162691326792,0.7609927322889286,Saturn,Titan,1221870.0,km,1.2101209177799124
29.12959964117345,29,0.1295996411734515,0.7541939190635244,0.2368282756735855,0.7610262646676552,Saturn,Hyperion,1481000.0,km,1.2101209177799124
30.95264985409113,31,0.0473501459088652,0.4639904129785006,0.1677265639994385,0.7344909665055656,Saturn,Iapetus,3560820.0,km,1.2101209177799124
24.20763494136651,24,0.2076349413665112,0.5990317085087596,0.1507860538678918,0.7989030649394667,Uranus,Miranda,129390.0,km,1.1292866924646956
25.015841662711452,25,0.0158416627114585,0.710641917462232,0.1574476291851403,0.8186274333181237,Uranus,Ariel,190900.0,km,1.1292866924646956
25.705239887721632,26,0.294760112278367,0.7960942813488686,0.1550283944017079,0.8370048382251348,Uranus,Umbriel,266000.0,km,1.1292866924646956
26.733547476145034,27,0.266452523854965,0.7083987060030557,0.1552993574636727,0.8201925371462232,Uranus,Titania,436300.0,km,1.1292866924646956
27.33767720957592,27,0.3376772095759175,0.5789138605178425,0.1552466639936506,0.7885385296397528,Uranus,Oberon,583500.0,km,1.1292866924646956
22.062412544763884,22,0.0624125447638853,0.9321605923025732,0.17812905990123,0.8395652345785054,Neptune,Naiad,48227.0,km,1.1817312252194785
22.14055453836506,22,0.1405545383650603,0.9192859529963916,0.1739589012370477,0.8408783717907147,Neptune,Thalassa,50075.0,km,1.1817312252194785
22.239858838597296,22,0.2398588385972965,0.919045138215994,0.1710922097514236,0.8430544462397987,Neptune,Despina,52526.0,km,1.1817312252194785
22.582883966729625,23,0.4171160332703767,0.98535483076248,0.1715968043084729,0.8516819553153151,Neptune,Galatea,61953.0,km,1.1817312252194785
22.939405174864067,23,0.0605948251359325,1.131943870317247,0.1850451107954814,0.8594938048463122,Neptune,Larissa,73548.0,km,1.1817312252194785
23.91558725670705,24,0.0844127432929469,1.0590365813410811,0.2755813851996813,0.7935129062334075,Neptune,Proteus,117647.0,km,1.1817312252194785
26.209275841925724,26,0.2092758419257244,0.459535091292146,0.1755267858503139,0.723606797749979,Neptune,Triton,354759.0,km,1.1817312252194785
31.910503332953997,32,0.0894966670460084,0.0525648386741118,0.0200779817603557,0.7236067977499795,Neptune,Nereid,5513400.0,km,1.1817312252194785
